"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1411","turquoise","GO:1905517","macrophage migration","7/310","50/17913",2.29260278957944e-05,0.00024109546868337,0.000177155670103866,"719/728/6347/6352/729230/1240/56833",7
"1418","turquoise","GO:0150077","regulation of neuroinflammatory response","7/310","51/17913",2.61833391626608e-05,0.000269231223961455,0.000197829673673437,"712/728/1075/3684/3689/5788/7133",7
"1493","turquoise","GO:2000116","regulation of cysteine-type endopeptidase activity","13/310","222/17913",0.000137128795607931,0.00113887222813869,0.000836837265504809,"9447/330/114769/834/939/1512/3428/3932/5641/114548/5698/5272/25816",13
"1516","turquoise","GO:0140131","positive regulation of lymphocyte chemotaxis","4/310","19/17913",0.000277680531637719,0.0021777415059917,0.00160019289418347,"6351/6352/729230/10563",4
"1519","turquoise","GO:0043547","positive regulation of GTPase activity","16/310","339/17913",0.000294280646543372,0.0022912860917163,0.00168362485282025,"216/9938/23526/64333/6363/1236/10563/55619/139818/1794/81704/8477/64407/10507/117289/7409",16
"1524","turquoise","GO:1905523","positive regulation of macrophage migration","4/310","20/17913",0.000342394829131598,0.00263424430298633,0.00193562872525701,"719/728/6352/1240",4
"1526","turquoise","GO:1905521","regulation of macrophage migration","5/310","36/17913",0.000364844221399575,0.00278710007809722,0.00204794633710139,"719/728/6352/1240/56833",5
"1541","turquoise","GO:0033622","integrin activation","4/310","22/17913",0.000503038650939651,0.00371148562732011,0.00272717992992339,"10563/83706/51237/5734",4
"1556","turquoise","GO:0060143","positive regulation of syncytium formation by plasma membrane fusion","4/310","23/17913",0.000600699775929238,0.00429379918088922,0.0031550608368374,"963/4283/4773/7305",4
"1563","turquoise","GO:0150078","positive regulation of neuroinflammatory response","4/310","24/17913",0.0007110890551405,0.00500699445565235,0.00367911293746607,"712/1075/3684/3689",4
"1594","turquoise","GO:0019079","viral genome replication","8/310","120/17913",0.00115583464416407,0.00762474218421066,0.00560262006743482,"60489/6347/6352/30835/940/10663/3428/3669",8
"1610","turquoise","GO:0034369","plasma lipoprotein particle remodeling","4/310","28/17913",0.00129763759954534,0.0082900358677068,0.00609147433317141,"341/348/7941/5360",4
"1618","yellow","GO:0030198","extracellular matrix organization","38/119","334/17913",1.09625647811552e-36,1.87350232109942e-33,1.54745256542412e-33,"8038/9509/165/84168/633/1303/1278/1289/1290/50509/1291/1292/1293/1295/1311/83716/1513/1634/30008/11117/2191/2192/2200/5654/22801/83700/4015/4016/4060/8076/4313/4811/22795/5156/10630/6423/6678/1462",38
